ID	ID V 4.0	ID SwissFIR	name E	synonyms E	category E	specific gravity	energy kJ	unit	matrix unit	value type	source	energy kcal	unit	matrix unit	value type	source	protein	unit	matrix unit	value type	source	alcohol	unit	matrix unit	value type	source	water	unit	matrix unit	value type	source	carbohydrates, available	unit	matrix unit	value type	source	starch	unit	matrix unit	value type	source	sugars	unit	matrix unit	value type	source	dietary fibres	unit	matrix unit	value type	source	fat, total	unit	matrix unit	value type	source	cholesterol	unit	matrix unit	value type	source	fatty acids, monounsaturated	unit	matrix unit	value type	source	fatty acids, saturated	unit	matrix unit	value type	source	fatty acids, polyunsaturated	unit	matrix unit	value type	source	vitamin A activity	unit	matrix unit	value type	source	all-trans retinol equivalents	unit	matrix unit	value type	source	beta-carotene activity	unit	matrix unit	value type	source	beta-carotene	unit	matrix unit	value type	source	vitamin B1 (thiamine)	unit	matrix unit	value type	source	vitamin B2 (riboflavin)	unit	matrix unit	value type	source	vitamin B6 (pyridoxine)	unit	matrix unit	value type	source	vitamin B12 (cobalamin)	unit	matrix unit	value type	source	niacin	unit	matrix unit	value type	source	folate	unit	matrix unit	value type	source	pantothenic acid	unit	matrix unit	value type	source	vitamin C (ascorbic acid)	unit	matrix unit	value type	source	vitamin D (calciferol)	unit	matrix unit	value type	source	vitamin E activity	unit	matrix unit	value type	source	sodium (Na)	unit	matrix unit	value type	source	potassium (K)	unit	matrix unit	value type	source	chloride (Cl)	unit	matrix unit	value type	source	calcium (Ca)	unit	matrix unit	value type	source	magnesium (Mg)	unit	matrix unit	value type	source	phosphorus (P)	unit	matrix unit	value type	source	iron (Fe)	unit	matrix unit	value type	source	iodide (I)	unit	matrix unit	value type	source	zinc (Zn)	unit	matrix unit	value type	source	record has changed
13318			Meat, chopped (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)		Meat and offal		678	kilojoule	per 100g edible portion	weighted	Computed value	161	kilocalorie	per 100g edible portion	weighted	Computed value	30	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	63.6	gram	per 100g edible portion	weighted	Computed value	0.1	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	4.5	gram	per 100g edible portion	weighted	Computed value	81	milligram	per 100g edible portion	weighted	Computed value	1.9	gram	per 100g edible portion	weighted	Computed value	1.4	gram	per 100g edible portion	weighted	Computed value	0.5	gram	per 100g edible portion	weighted	Computed value	5	retinol equivalent	per 100g edible portion	weighted	Computed value	5	retinol equivalent	per 100g edible portion	weighted	Computed value	4	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	3	microgram	per 100g edible portion	weighted	Computed value	0.32	milligram	per 100g edible portion	weighted	Computed value	0.18	milligram	per 100g edible portion	weighted	Computed value	0.53	milligram	per 100g edible portion	weighted	Computed value	0.9	microgram	per 100g edible portion	weighted	Computed value	2.7	milligram	per 100g edible portion	weighted	Computed value	4.9	microgram	per 100g edible portion	weighted	Computed value	0.94	milligram	per 100g edible portion	weighted	Computed value	0	milligram	per 100g edible portion	weighted	Computed value	0.7	microgram	per 100g edible portion	weighted	Computed value	0.36	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	62	milligram	per 100g edible portion	weighted	Computed value	370	milligram	per 100g edible portion	weighted	Computed value	82	milligram	per 100g edible portion	weighted	Computed value	8.6	milligram	per 100g edible portion	weighted	Computed value	26	milligram	per 100g edible portion	weighted	Computed value	240	milligram	per 100g edible portion	weighted	Computed value	1.1	milligram	per 100g edible portion	weighted	Computed value	1.9	microgram	per 100g edible portion	weighted	Computed value	3	milligram	per 100g edible portion	weighted	Computed value	VRAI
1104	4028		Meat, chopped (average of beef, veal, pork, poultry), raw		"Meat and offal/Veal;Meat and offal/Pork;Meat and offal/Beef;Meat and offal/Poultry"		496	kilojoule	per 100g edible portion	weighted	Computed value	118	kilocalorie	per 100g edible portion	weighted	Computed value	21.9	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	73.4	gram	per 100g edible portion	weighted	Computed value	0.1	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	3.3	gram	per 100g edible portion	weighted	Computed value	59	milligram	per 100g edible portion	weighted	Computed value	1.4	gram	per 100g edible portion	weighted	Computed value	1	gram	per 100g edible portion	weighted	Computed value	0.4	gram	per 100g edible portion	weighted	Computed value	4	retinol equivalent	per 100g edible portion	weighted	Computed value	4	retinol equivalent	per 100g edible portion	weighted	Computed value	3	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	3	microgram	per 100g edible portion	weighted	Computed value	0.33	milligram	per 100g edible portion	weighted	Computed value	0.14	milligram	per 100g edible portion	weighted	Computed value	0.58	milligram	per 100g edible portion	weighted	Computed value	0.85	microgram	per 100g edible portion	weighted	Computed value	2.4	milligram	per 100g edible portion	weighted	Computed value	4.7	microgram	per 100g edible portion	weighted	Computed value	0.83	milligram	per 100g edible portion	weighted	Computed value	0	milligram	per 100g edible portion	weighted	Computed value	0.6	microgram	per 100g edible portion	weighted	Computed value	0.31	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	53	milligram	per 100g edible portion	weighted	Computed value	340	milligram	per 100g edible portion	weighted	Computed value	60	milligram	per 100g edible portion	weighted	Computed value	6.4	milligram	per 100g edible portion	weighted	Computed value	22	milligram	per 100g edible portion	weighted	Computed value	200	milligram	per 100g edible portion	weighted	Computed value	0.8	milligram	per 100g edible portion	weighted	Computed value	1.4	microgram	per 100g edible portion	weighted	Computed value	2.3	milligram	per 100g edible portion	weighted	Computed value	VRAI
1696			Cereal flakes (average)		Bread, flakes and breakfast cereals/Flakes, bran and germs		1450	kilojoule	per 100g edible portion	weighted	Computed value	344	kilocalorie	per 100g edible portion	weighted	Computed value	10.2	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	11.8	gram	per 100g edible portion	weighted	Computed value	63.9	gram	per 100g edible portion	weighted	Computed value	50.8	gram	per 100g edible portion	weighted	Computed value	1.5	gram	per 100g edible portion	weighted	Computed value	9	gram	per 100g edible portion	weighted	Computed value	3.3	gram	per 100g edible portion	weighted	Computed value	0	milligram	per 100g edible portion	weighted	Computed value	0.8	gram	per 100g edible portion	weighted	Computed value	0.6	gram	per 100g edible portion	weighted	Computed value	1.4	gram	per 100g edible portion	weighted	Computed value	1	retinol equivalent	per 100g edible portion	weighted	Computed value	0	retinol equivalent	per 100g edible portion	weighted	Computed value	7	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	7	microgram	per 100g edible portion	weighted	Computed value	0.34	milligram	per 100g edible portion	weighted	Computed value	0.1	milligram	per 100g edible portion	weighted	Computed value	0.38	milligram	per 100g edible portion	weighted	Computed value	0	microgram	per 100g edible portion	weighted	Computed value	2.8	milligram	per 100g edible portion	weighted	Computed value	31	microgram	per 100g edible portion	weighted	Computed value	0.94	milligram	per 100g edible portion	weighted	Computed value	0	milligram	per 100g edible portion	weighted	Computed value	0	microgram	per 100g edible portion	weighted	Computed value	0.77	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	7.4	milligram	per 100g edible portion	weighted	Computed value	230	milligram	per 100g edible portion	weighted	Computed value	22	milligram	per 100g edible portion	weighted	Computed value	29	milligram	per 100g edible portion	weighted	Computed value	110	milligram	per 100g edible portion	weighted	Computed value	290	milligram	per 100g edible portion	weighted	Computed value	4	milligram	per 100g edible portion	weighted	Computed value	1.5	microgram	per 100g edible portion	weighted	Computed value	2	milligram	per 100g edible portion	weighted	Computed value	VRAI
10406			Croissant (average)		Bread, flakes and breakfast cereals/Bread and bread products		1700	kilojoule	per 100g edible portion	weighted	Computed value	406	kilocalorie	per 100g edible portion	weighted	Computed value	8	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	23.8	gram	per 100g edible portion	weighted	Computed value	40.4	gram	per 100g edible portion	weighted	Computed value	38	gram	per 100g edible portion	weighted	Computed value	2	gram	per 100g edible portion	weighted	Computed value	2.7	gram	per 100g edible portion	weighted	Computed value	23	gram	per 100g edible portion	weighted	Computed value	71	milligram	per 100g edible portion	weighted	Computed value	5.3	gram	per 100g edible portion	weighted	Computed value	13.4	gram	per 100g edible portion	weighted	Computed value	1.4	gram	per 100g edible portion	weighted	Computed value	144	retinol equivalent	per 100g edible portion	weighted	Computed value	139	retinol equivalent	per 100g edible portion	weighted	Computed value	64	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	52	microgram	per 100g edible portion	weighted	Computed value	0.08	milligram	per 100g edible portion	weighted	Computed value	0.1	milligram	per 100g edible portion	weighted	Computed value	0.13	milligram	per 100g edible portion	weighted	Computed value	0.09	microgram	per 100g edible portion	weighted	Computed value	1.3	milligram	per 100g edible portion	weighted	Computed value	22	microgram	per 100g edible portion	weighted	Computed value	0.29	milligram	per 100g edible portion	weighted	Computed value	0.2	milligram	per 100g edible portion	weighted	Computed value	0.4	microgram	per 100g edible portion	weighted	Computed value	0.69	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	850	milligram	per 100g edible portion	weighted	Computed value	130	milligram	per 100g edible portion	weighted	Computed value	1320	milligram	per 100g edible portion	weighted	Computed value	38	milligram	per 100g edible portion	weighted	Computed value	21	milligram	per 100g edible portion	weighted	Computed value	100	milligram	per 100g edible portion	weighted	Computed value	1.2	milligram	per 100g edible portion	weighted	Computed value	34	microgram	per 100g edible portion	weighted	Computed value	1	milligram	per 100g edible portion	weighted	Computed value	VRAI
507	4735	1001009	Schabziger (Swiss green cheese)		Milk and dairy products/Fresh cheese and curds		569	kilojoule	per 100g edible portion	weighted	Computed value	134	kilocalorie	per 100g edible portion	weighted	Computed value	32.3	gram	per 100g edible portion	weighted	186	0	gram	per 100g edible portion	weighted	22	58.3	gram	per 100g edible portion	weighted	186	0	gram	per 100g edible portion	weighted	186	0	gram	per 100g edible portion	weighted	186	0	gram	per 100g edible portion	weighted	1408	0	gram	per 100g edible portion	weighted	22	0.5	gram	per 100g edible portion	weighted	186	2	milligram	per 100g edible portion	weighted	186	0.1	gram	per 100g edible portion	weighted	186	0.3	gram	per 100g edible portion	weighted	186	0	gram	per 100g edible portion	weighted	186	3	retinol equivalent	per 100g edible portion	weighted	51	3	retinol equivalent	per 100g edible portion	weighted	51	1	beta-carotene equivalent	per 100g edible portion	weighted	51	1	microgram	per 100g edible portion	weighted	51	0.01	milligram	per 100g edible portion	weighted	186	0.28	milligram	per 100g edible portion	weighted	186	0.05	milligram	per 100g edible portion	weighted	186	0	microgram	per 100g edible portion	weighted	22	0	milligram	per 100g edible portion	weighted	22	0	microgram	per 100g edible portion	weighted	22	0	milligram	per 100g edible portion	weighted	22	0	milligram	per 100g edible portion	weighted	22	0	microgram	per 100g edible portion	weighted	22	0	alpha-tocopherol equivalent	per 100g edible portion	weighted	22	1740	milligram	per 100g edible portion	weighted	186	140	milligram	per 100g edible portion	weighted	186	0	milligram	per 100g edible portion	weighted	22	860	milligram	per 100g edible portion	weighted	186	34	milligram	per 100g edible portion	weighted	186	560	milligram	per 100g edible portion	weighted	186	0.2	milligram	per 100g edible portion	weighted	186	0	microgram	per 100g edible portion	weighted	22	3.9	milligram	per 100g edible portion	weighted	186	VRAI
483	4346	1000969	Gorgonzola		Milk and dairy products/Hard cheese		1490	kilojoule	per 100g edible portion	weighted	Computed value	359	kilocalorie	per 100g edible portion	weighted	Computed value	19.4	gram	per 100g edible portion	weighted	5	0	gram	per 100g edible portion	weighted	22	42.4	gram	per 100g edible portion	weighted	5	0.1	gram	per 100g edible portion	weighted	5	0	gram	per 100g edible portion	weighted	22	0.1	gram	per 100g edible portion	weighted	5	0	gram	per 100g edible portion	weighted	22	31.2	gram	per 100g edible portion	weighted	5	94	milligram	per 100g edible portion	weighted	3	7.4	gram	per 100g edible portion	weighted	3	18.7	gram	per 100g edible portion	weighted	3	1.4	gram	per 100g edible portion	weighted	3	182	retinol equivalent	per 100g edible portion	weighted	51	175	retinol equivalent	per 100g edible portion	weighted	81	88	beta-carotene equivalent	per 100g edible portion	weighted	81						0.01	milligram	per 100g edible portion	weighted	5	0.18	milligram	per 100g edible portion	weighted	5	0.07	milligram	per 100g edible portion	weighted	5	1.2	microgram	per 100g edible portion	weighted	9	0.32	milligram	per 100g edible portion	weighted	9	52	microgram	per 100g edible portion	weighted	5	1.7	milligram	per 100g edible portion	weighted	9	0	milligram	per 100g edible portion	weighted	5	0.2	microgram	per 100g edible portion	weighted	5	0.54	alpha-tocopherol equivalent	per 100g edible portion	weighted	5	1450	milligram	per 100g edible portion	weighted	5	140	milligram	per 100g edible portion	weighted	5	1800	milligram	per 100g edible portion	weighted	9	610	milligram	per 100g edible portion	weighted	5	20	milligram	per 100g edible portion	weighted	9	360	milligram	per 100g edible portion	weighted	5	0.3	milligram	per 100g edible portion	weighted	5	40	microgram	per 100g edible portion	weighted	9	2.5	milligram	per 100g edible portion	weighted	5	VRAI
388	4556	1000851	Grapefruit, fresh		Fruit/Fresh fruit		126	kilojoule	per 100g edible portion	weighted	Computed value	30	kilocalorie	per 100g edible portion	weighted	Computed value	0.7	gram	per 100g edible portion	weighted	43	0	gram	per 100g edible portion	weighted	43	90.4	gram	per 100g edible portion	weighted	43	5.9	gram	per 100g edible portion	weighted	43	0	gram	per 100g edible portion	weighted	43	5.9	gram	per 100g edible portion	weighted	43	1.3	gram	per 100g edible portion	weighted	43	0.1	gram	per 100g edible portion	weighted	43	0	milligram	per 100g edible portion	weighted	43	0	gram	per 100g edible portion	weighted	43	0	gram	per 100g edible portion	weighted	43	0	gram	per 100g edible portion	weighted	43	1	retinol equivalent	per 100g edible portion	weighted	51	0	retinol equivalent	per 100g edible portion	weighted	51	14	beta-carotene equivalent	per 100g edible portion	weighted	51	14	microgram	per 100g edible portion	weighted	95	0.04	milligram	per 100g edible portion	weighted	43	0.02	milligram	per 100g edible portion	weighted	43	0.04	milligram	per 100g edible portion	weighted	43	0	microgram	per 100g edible portion	weighted	43	0.3	milligram	per 100g edible portion	weighted	43	14	microgram	per 100g edible portion	weighted	43	0.3	milligram	per 100g edible portion	weighted	43	37	milligram	per 100g edible portion	weighted	43	0	microgram	per 100g edible portion	weighted	43	0.25	alpha-tocopherol equivalent	per 100g edible portion	weighted	43	1	milligram	per 100g edible portion	weighted	43	140	milligram	per 100g edible portion	weighted	43	2.3	milligram	per 100g edible portion	weighted	36	19	milligram	per 100g edible portion	weighted	43	9	milligram	per 100g edible portion	weighted	43	12	milligram	per 100g edible portion	weighted	43	0.2	milligram	per 100g edible portion	weighted	43	1.3	microgram	per 100g edible portion	weighted	36	0.1	milligram	per 100g edible portion	weighted	36	VRAI
530	4615	1001044	Greyerzer, at least 45% fidm		Milk and dairy products/Hard cheese		1650	kilojoule	per 100g edible portion	weighted	Computed value	399	kilocalorie	per 100g edible portion	weighted	Computed value	27	gram	per 100g edible portion	weighted	177	0	gram	per 100g edible portion	weighted	22	36	gram	per 100g edible portion	weighted	177	0	gram	per 100g edible portion	weighted	1408	0	gram	per 100g edible portion	weighted	22	0	gram	per 100g edible portion	weighted	1408	0	gram	per 100g edible portion	weighted	22	32	gram	per 100g edible portion	weighted	177	96	milligram	per 100g edible portion	weighted	177	7.5	gram	per 100g edible portion	weighted	177	19.2	gram	per 100g edible portion	weighted	177	1.5	gram	per 100g edible portion	weighted	177	307	retinol equivalent	per 100g edible portion	weighted	51	290	retinol equivalent	per 100g edible portion	weighted	51	200	beta-carotene equivalent	per 100g edible portion	weighted	51	200	microgram	per 100g edible portion	weighted	8	0.02	milligram	per 100g edible portion	weighted	177	0.32	milligram	per 100g edible portion	weighted	177	0.13	milligram	per 100g edible portion	weighted	177	2	microgram	per 100g edible portion	weighted	177	0.2	milligram	per 100g edible portion	weighted	177	10	microgram	per 100g edible portion	weighted	177	0.5	milligram	per 100g edible portion	weighted	177	0	milligram	per 100g edible portion	weighted	22	1.1	microgram	per 100g edible portion	weighted	177	0.35	alpha-tocopherol equivalent	per 100g edible portion	weighted	177	590	milligram	per 100g edible portion	weighted	1075	90	milligram	per 100g edible portion	weighted	177	900	milligram	per 100g edible portion	weighted	177	900	milligram	per 100g edible portion	weighted	177	35	milligram	per 100g edible portion	weighted	177	600	milligram	per 100g edible portion	weighted	177	0.4	milligram	per 100g edible portion	weighted	177	11	microgram	per 100g edible portion	weighted	"1399;1333"	4.2	milligram	per 100g edible portion	weighted	177	VRAI
1509			Semolina pudding, prepared (with partially skimmed milk)		Sweets/Creams and puddings		400	kilojoule	per 100g edible portion	weighted	Computed value	95	kilocalorie	per 100g edible portion	weighted	Computed value	4.8	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	79.8	gram	per 100g edible portion	weighted	Computed value	12	gram	per 100g edible portion	weighted	Computed value	7.3	gram	per 100g edible portion	weighted	Computed value	4.8	gram	per 100g edible portion	weighted	Computed value	0.4	gram	per 100g edible portion	weighted	Computed value	3	gram	per 100g edible portion	weighted	Computed value	11	milligram	per 100g edible portion	weighted	Computed value	0.6	gram	per 100g edible portion	weighted	Computed value	1.8	gram	per 100g edible portion	weighted	Computed value	0.2	gram	per 100g edible portion	weighted	Computed value	34	retinol equivalent	per 100g edible portion	weighted	Computed value	33	retinol equivalent	per 100g edible portion	weighted	Computed value	16	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	16	microgram	per 100g edible portion	weighted	Computed value	0.03	milligram	per 100g edible portion	weighted	Computed value	0.15	milligram	per 100g edible portion	weighted	Computed value	0.03	milligram	per 100g edible portion	weighted	Computed value	0.12	microgram	per 100g edible portion	weighted	Computed value	0.32	milligram	per 100g edible portion	weighted	Computed value	4.8	microgram	per 100g edible portion	weighted	Computed value	0.34	milligram	per 100g edible portion	weighted	Computed value	0.4	milligram	per 100g edible portion	weighted	Computed value	0.1	microgram	per 100g edible portion	weighted	Computed value	0.08	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	72	milligram	per 100g edible portion	weighted	Computed value	180	milligram	per 100g edible portion	weighted	Computed value	160	milligram	per 100g edible portion	weighted	Computed value	130	milligram	per 100g edible portion	weighted	Computed value	14	milligram	per 100g edible portion	weighted	Computed value	110	milligram	per 100g edible portion	weighted	Computed value	0.1	milligram	per 100g edible portion	weighted	Computed value	9.3	microgram	per 100g edible portion	weighted	Computed value	0.7	milligram	per 100g edible portion	weighted	Computed value	FAUX
1510			Semolina pudding, prepared (with full fat milk)		Sweets/Creams and puddings		400	kilojoule	per 100g edible portion	weighted	Computed value	95	kilocalorie	per 100g edible portion	weighted	Computed value	4.8	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	79.8	gram	per 100g edible portion	weighted	Computed value	12	gram	per 100g edible portion	weighted	Computed value	7.3	gram	per 100g edible portion	weighted	Computed value	4.8	gram	per 100g edible portion	weighted	Computed value	0.4	gram	per 100g edible portion	weighted	Computed value	3	gram	per 100g edible portion	weighted	Computed value	11	milligram	per 100g edible portion	weighted	Computed value	0.6	gram	per 100g edible portion	weighted	Computed value	1.8	gram	per 100g edible portion	weighted	Computed value	0.2	gram	per 100g edible portion	weighted	Computed value	34	retinol equivalent	per 100g edible portion	weighted	Computed value	33	retinol equivalent	per 100g edible portion	weighted	Computed value	16	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	16	microgram	per 100g edible portion	weighted	Computed value	0.03	milligram	per 100g edible portion	weighted	Computed value	0.15	milligram	per 100g edible portion	weighted	Computed value	0.03	milligram	per 100g edible portion	weighted	Computed value	0.12	microgram	per 100g edible portion	weighted	Computed value	0.32	milligram	per 100g edible portion	weighted	Computed value	4.8	microgram	per 100g edible portion	weighted	Computed value	0.34	milligram	per 100g edible portion	weighted	Computed value	0.4	milligram	per 100g edible portion	weighted	Computed value	0.1	microgram	per 100g edible portion	weighted	Computed value	0.08	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	72	milligram	per 100g edible portion	weighted	Computed value	180	milligram	per 100g edible portion	weighted	Computed value	160	milligram	per 100g edible portion	weighted	Computed value	130	milligram	per 100g edible portion	weighted	Computed value	14	milligram	per 100g edible portion	weighted	Computed value	110	milligram	per 100g edible portion	weighted	Computed value	0.1	milligram	per 100g edible portion	weighted	Computed value	9.3	microgram	per 100g edible portion	weighted	Computed value	0.7	milligram	per 100g edible portion	weighted	Computed value	FAUX
1507			Semolina slice, prepared (with partially skimmed milk)		Prepared dishes/Other savoury dishes		611	kilojoule	per 100g edible portion	weighted	Computed value	146	kilocalorie	per 100g edible portion	weighted	Computed value	6.3	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	71.2	gram	per 100g edible portion	weighted	Computed value	15.4	gram	per 100g edible portion	weighted	Computed value	11.6	gram	per 100g edible portion	weighted	Computed value	3.8	gram	per 100g edible portion	weighted	Computed value	0.7	gram	per 100g edible portion	weighted	Computed value	6.4	gram	per 100g edible portion	weighted	Computed value	72	milligram	per 100g edible portion	weighted	Computed value	1.6	gram	per 100g edible portion	weighted	Computed value	3.4	gram	per 100g edible portion	weighted	Computed value	0.5	gram	per 100g edible portion	weighted	Computed value	72	retinol equivalent	per 100g edible portion	weighted	Computed value	70	retinol equivalent	per 100g edible portion	weighted	Computed value	21	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	20	microgram	per 100g edible portion	weighted	Computed value	0.07	milligram	per 100g edible portion	weighted	Computed value	0.18	milligram	per 100g edible portion	weighted	Computed value	0.05	milligram	per 100g edible portion	weighted	Computed value	0.68	microgram	per 100g edible portion	weighted	Computed value	0.44	milligram	per 100g edible portion	weighted	Computed value	5.2	microgram	per 100g edible portion	weighted	Computed value	0.46	milligram	per 100g edible portion	weighted	Computed value	0.3	milligram	per 100g edible portion	weighted	Computed value	0.5	microgram	per 100g edible portion	weighted	Computed value	0.16	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	100	milligram	per 100g edible portion	weighted	Computed value	170	milligram	per 100g edible portion	weighted	Computed value	170	milligram	per 100g edible portion	weighted	Computed value	110	milligram	per 100g edible portion	weighted	Computed value	16	milligram	per 100g edible portion	weighted	Computed value	120	milligram	per 100g edible portion	weighted	Computed value	0.4	milligram	per 100g edible portion	weighted	Computed value	12	microgram	per 100g edible portion	weighted	Computed value	1	milligram	per 100g edible portion	weighted	Computed value	VRAI
1508			Semolina slice, prepared (with full fat milk)		Prepared dishes/Other savoury dishes		652	kilojoule	per 100g edible portion	weighted	Computed value	156	kilocalorie	per 100g edible portion	weighted	Computed value	6.3	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	70.1	gram	per 100g edible portion	weighted	Computed value	15.4	gram	per 100g edible portion	weighted	Computed value	11.6	gram	per 100g edible portion	weighted	Computed value	3.8	gram	per 100g edible portion	weighted	Computed value	0.7	gram	per 100g edible portion	weighted	Computed value	7.5	gram	per 100g edible portion	weighted	Computed value	67	milligram	per 100g edible portion	weighted	Computed value	2	gram	per 100g edible portion	weighted	Computed value	4.1	gram	per 100g edible portion	weighted	Computed value	0.5	gram	per 100g edible portion	weighted	Computed value	59	retinol equivalent	per 100g edible portion	weighted	Computed value	57	retinol equivalent	per 100g edible portion	weighted	Computed value	23	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	23	microgram	per 100g edible portion	weighted	Computed value	0.04	milligram	per 100g edible portion	weighted	Computed value	0.18	milligram	per 100g edible portion	weighted	Computed value	0.05	milligram	per 100g edible portion	weighted	Computed value	0.25	microgram	per 100g edible portion	weighted	Computed value	0.48	milligram	per 100g edible portion	weighted	Computed value	11	microgram	per 100g edible portion	weighted	Computed value	0.54	milligram	per 100g edible portion	weighted	Computed value	0.6	milligram	per 100g edible portion	weighted	Computed value	0.3	microgram	per 100g edible portion	weighted	Computed value	0.3	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	100	milligram	per 100g edible portion	weighted	Computed value	170	milligram	per 100g edible portion	weighted	Computed value	190	milligram	per 100g edible portion	weighted	Computed value	110	milligram	per 100g edible portion	weighted	Computed value	16	milligram	per 100g edible portion	weighted	Computed value	120	milligram	per 100g edible portion	weighted	Computed value	0.4	milligram	per 100g edible portion	weighted	Computed value	9.7	microgram	per 100g edible portion	weighted	Computed value	1	milligram	per 100g edible portion	weighted	Computed value	VRAI
1272			Grittib�nz (Swiss bread man)		Sweets/Other sweet pastries		1390	kilojoule	per 100g edible portion	weighted	Computed value	330	kilocalorie	per 100g edible portion	weighted	Computed value	9.2	gram	per 100g edible portion	weighted	Computed value	0	gram	per 100g edible portion	weighted	Computed value	28.7	gram	per 100g edible portion	weighted	Computed value	46.9	gram	per 100g edible portion	weighted	Computed value	43.5	gram	per 100g edible portion	weighted	Computed value	2.8	gram	per 100g edible portion	weighted	Computed value	2.2	gram	per 100g edible portion	weighted	Computed value	11.2	gram	per 100g edible portion	weighted	Computed value	44	milligram	per 100g edible portion	weighted	Computed value	2.6	gram	per 100g edible portion	weighted	Computed value	6.4	gram	per 100g edible portion	weighted	Computed value	0.9	gram	per 100g edible portion	weighted	Computed value	110	retinol equivalent	per 100g edible portion	weighted	Computed value	106	retinol equivalent	per 100g edible portion	weighted	Computed value	47	beta-carotene equivalent	per 100g edible portion	weighted	Computed value	40	microgram	per 100g edible portion	weighted	Computed value	0.07	milligram	per 100g edible portion	weighted	Computed value	0.13	milligram	per 100g edible portion	weighted	Computed value	0.14	milligram	per 100g edible portion	weighted	Computed value	0.25	microgram	per 100g edible portion	weighted	Computed value	1.8	milligram	per 100g edible portion	weighted	Computed value	22	microgram	per 100g edible portion	weighted	Computed value	0.33	milligram	per 100g edible portion	weighted	Computed value	0.2	milligram	per 100g edible portion	weighted	Computed value	0.3	microgram	per 100g edible portion	weighted	Computed value	0.4	alpha-tocopherol equivalent	per 100g edible portion	weighted	Computed value	570	milligram	per 100g edible portion	weighted	Computed value	160	milligram	per 100g edible portion	weighted	Computed value	890	milligram	per 100g edible portion	weighted	Computed value	55	milligram	per 100g edible portion	weighted	Computed value	19	milligram	per 100g edible portion	weighted	Computed value	110	milligram	per 100g edible portion	weighted	Computed value	1.1	milligram	per 100g edible portion	weighted	Computed value	5	microgram	per 100g edible portion	weighted	Computed value	0.9	milligram	per 100g edible portion	weighted	Computed value	FAUX
